INDIVIDUALS	STRATA
TRIT-12_027	NOR
DRUM-15_021	NOR
PORT-12_035	NOR
BURG-12_043	NOR
T1P4-16_046	NOR
MALP-15_008	NOR
T2P4-16_017	NOR
FORT-16_013	NOR
SEPX-15_021	NOR
T5P3-16_013	NOR
TIGN-15_036	NOR
BONA-15_013	NOR
TRIT-12_045	NOR
ANTI-15_006	NOR
T2P3-16_012	NOR
T4P3-16_038	NOR
BONA-15_021	NOR
CAPM-12_008	NOR
SEPX-15_011	NOR
CHET-12_016	NOR
T4P2-16_023	NOR
T5P4-16_030	NOR
TONE-12_047	NOR
ECUM-17_049	NOR
FORT-15_047	NOR
T5P1-16_014	NOR
T4P2-16_043	NOR
POBA-16_022	NOR
ROCK-16_027	NOR
T4P1-16_021	NOR
T1P2-16_024	NOR
T5P4-16_039	NOR
T1P3-16_013	NOR
T3P3-16_011	NOR
T5P1-16_025	NOR
POBA-16_007	NOR
TONE-12_033	NOR
FOUR-15_048	NOR
BIGB-15_034	NOR
GASP-12_002	NOR
T2X-16_008	NOR
ECUM-17_026	NOR
T2P3-16_049	NOR
STGM-15_035	NOR
CARA-15_028	NOR
ARIS-15_027	NOR
ECUM-17_021	NOR
T2P3-16_006	NOR
ANTI-12_009	NOR
SHED-15_026	NOR
T2P3-16_021	NOR
ROCK-16_014	NOR
ECUM-17_025	NOR
BURG-12_028	NOR
T1P2-16_027	NOR
SOUR-15_028	NOR
BURG-12_011	NOR
CARA-12_027	NOR
T1P2-16_050	NOR
BIGB-15_024	NOR
MALP-15_026	NOR
ROCK-16_018	NOR
T2P3-16_055	NOR
ECUM-17_014	NOR
T3P2-16_044	NOR
SEPX-15_019	NOR
T1P3-16_018	NOR
T3P2-16_035	NOR
SOUR-15_003	NOR
MALP-15_027	NOR
GASP-12_023	NOR
TIGN-15_003	NOR
T3P4-16_020	NOR
SEPX-15_033	NOR
T4P4-16_007	NOR
ROCK-16_038	NOR
MALP-15_046	NOR
MALP-15_023	NOR
T5P4-16_005	NOR
DRUM-15_053	NOR
VALC-12_028	NOR
POIN-15_052	NOR
T2X-16_011	NOR
T5P4-16_028	NOR
T4P1-16_054	NOR
CANS-12_012	NOR
T4P3-16_008	NOR
T4P1-16_006	NOR
ARIS-15_020	NOR
T4P3-16_048	NOR
DRUM-15_032	NOR
VALC-12_040	NOR
ANTI-15_021	NOR
CANS-12_047	NOR
T5P1-16_051	NOR
T4P4-16_024	NOR
T5P4-16_044	NOR
T3P4-16_024	NOR
CANS-12_017	NOR
T4P2-16_049	NOR
POBA-16_028	NOR
T2P3-16_045	NOR
T5P2-16_002	NOR
GASP-12_015	NOR
STJI-12_046	NOR
SOUR-15_032	NOR
CAPM-12_009	NOR
CARA-12_022	NOR
MALP-15_013	NOR
T3P3-16_025	NOR
FORT-16_003	NOR
BURG-12_002	NOR
POIN-15_017	NOR
FALS-15_048	NOR
MALP-15_010	NOR
ETDN-12_025	NOR
SOUR-15_050	NOR
CHET-12_017	NOR
VALC-12_036	NOR
T5P4-16_020	NOR
GASP-12_043	NOR
POBA-16_012	NOR
STGM-15_044	NOR
POIN-15_037	NOR
ECUM-17_012	NOR
FORT-16_041	NOR
ECUM-17_040	NOR
ROCK-16_017	NOR
CARA-15_032	NOR
T2P2-16_014	NOR
PORT-12_042	NOR
T3P3-16_027	NOR
T1P3-16_030	NOR
T3P4-16_033	NOR
T1P3-16_051	NOR
BONA-15_019	NOR
ECUM-17_001	NOR
STJI-12_014	NOR
ETDN-12_044	NOR
T4P4-16_031	NOR
T4P2-16_007	NOR
FORT-15_043	NOR
T1P2-16_035	NOR
FORT-15_005	NOR
FALS-15_041	NOR
T1P4-16_029	NOR
FALS-15_013	NOR
FALS-15_007	NOR
T3P2-16_033	NOR
T3P4-16_057	NOR
T3P4-16_047	NOR
CARA-12_010	NOR
TONE-12_020	NOR
T2P2-16_029	NOR
T3P2-16_046	NOR
T5P2-16_049	NOR
BIGB-12_038	NOR
CARA-12_028	NOR
